more_detail_link,media_img,hotel_name,money,rating,tax,distance
https://www.booking.com/hotel/in/spot-on-75564-manyata-deluxe.html?label=BLR&sid=428ba0028bf6d928d014ce18adfa0425&aid=358577&ucfs=1&arphpl=1&checkin=2021-12-15&checkout=2021-12-31&dest_id=7995&dest_type=airport&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=18&hapos=118&sr_order=popularity&srpvid=9fc21baf17f40058&srepoch=1639540627&all_sr_blocks=673450002_328254309_2_1_0&highlighted_blocks=673450002_328254309_2_1_0&matching_block_id=673450002_328254309_2_1_0&sr_pri_blocks=673450002_328254309_2_1_0__1381080&from=searchresults#hotelTmpl,https://cf.bstatic.com/xdata/images/hotel/square600/271678552.webp?k=6ae637102505b32fdac497860ebc4511992276e84e4f9b785da741711a21cd9a&o=&s=1,"['SPOT ON 75564 Manyata Deluxe', 'Opens in new window']","₹ 13,811","5.7
Review score
11 reviews",+₹ 480 taxes and charges,20.3 km from Kempegowda International Airport
https://www.booking.com/hotel/in/octave-jamayca.html?label=BLR&sid=428ba0028bf6d928d014ce18adfa0425&aid=358577&ucfs=1&arphpl=1&checkin=2021-12-15&checkout=2021-12-31&dest_id=7995&dest_type=airport&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=119&sr_order=popularity&srpvid=9fc21baf17f40058&srepoch=1639540627&all_sr_blocks=704404301_295260608_2_0_0&highlighted_blocks=704404301_295260608_2_0_0&matching_block_id=704404301_295260608_2_0_0&sr_pri_blocks=704404301_295260608_2_0_0__2152500&from=searchresults#hotelTmpl,https://cf.bstatic.com/xdata/images/hotel/square600/284372868.webp?k=f5a155299cde775ebd223e5c54a940ba12761fe66acb0f3be7d1e2a20c921af4&o=&s=1,"['Octave Jamayca Hotel', 'Opens in new window']","₹ 21,525","8.3
Very Good
115 reviews","+₹ 2,583 taxes and charges",20.7 km from Kempegowda International Airport
https://www.booking.com/hotel/in/oyo-home-44035-cityview-studios-kr-puram.html?label=BLR&sid=428ba0028bf6d928d014ce18adfa0425&aid=358577&ucfs=1&arphpl=1&checkin=2021-12-15&checkout=2021-12-31&dest_id=7995&dest_type=airport&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=120&sr_order=popularity&srpvid=9fc21baf17f40058&srepoch=1639540627&all_sr_blocks=566054702_328286452_2_1_0&highlighted_blocks=566054702_328286452_2_1_0&matching_block_id=566054702_328286452_2_1_0&sr_pri_blocks=566054702_328286452_2_1_0__1977869&from=searchresults#hotelTmpl,https://cf.bstatic.com/xdata/images/hotel/square600/306095627.webp?k=c25b20131e05745e419cc8e53871b8607cd7b3fa8e79b90766693b895bf02d5a&o=&s=1,"['OYO Home 80784 Compact Studio KR Puram', 'Opens in new window']","₹ 19,779","7.0
Good
10 reviews","+₹ 2,853 taxes and charges",20.6 km from Kempegowda International Airport
https://www.booking.com/hotel/in/oyo-premium-k-r-puram.html?label=BLR&sid=428ba0028bf6d928d014ce18adfa0425&aid=358577&ucfs=1&arphpl=1&checkin=2021-12-15&checkout=2021-12-31&dest_id=7995&dest_type=airport&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=21&hapos=121&sr_order=popularity&srpvid=9fc21baf17f40058&srepoch=1639540627&all_sr_blocks=268465804_284925621_2_0_0&highlighted_blocks=268465804_284925621_2_0_0&matching_block_id=268465804_284925621_2_0_0&sr_pri_blocks=268465804_284925621_2_0_0__2723029&from=searchresults#hotelTmpl,https://cf.bstatic.com/xdata/images/hotel/square600/272268555.webp?k=aeab9dd9014b0031f3b58d0335f83136084fd3723f77d4b6191eedb12ef98acd&o=&s=1,"['Vaccinated Staff - Capital O 15950 J K Residency', 'Opens in new window']","₹ 27,230","7.2
Good
14 reviews","+₹ 3,748 taxes and charges",20 km from Kempegowda International Airport
https://www.booking.com/hotel/in/nandhana-pride.html?label=BLR&sid=428ba0028bf6d928d014ce18adfa0425&aid=358577&ucfs=1&arphpl=1&checkin=2021-12-15&checkout=2021-12-31&dest_id=7995&dest_type=airport&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=22&hapos=122&sr_order=popularity&srpvid=9fc21baf17f40058&srepoch=1639540627&all_sr_blocks=469497801_334905352_2_42_0&highlighted_blocks=469497801_334905352_2_42_0&matching_block_id=469497801_334905352_2_42_0&sr_pri_blocks=469497801_334905352_2_42_0__4320000&from=searchresults#hotelTmpl,https://cf.bstatic.com/xdata/images/hotel/square600/184641743.webp?k=c2c5c4db96294949e3421441c1aed6c2276007e45d29e5c4cda23fa826935a79&o=&s=1,"['Hotel La Sara Pride Formerly Known as Nandhana Pride', 'Opens in new window']","₹ 43,200","7.3
Good
23 reviews","+₹ 5,664 taxes and charges",20.1 km from Kempegowda International Airport
https://www.booking.com/hotel/in/rio-the.html?label=BLR&sid=428ba0028bf6d928d014ce18adfa0425&aid=358577&ucfs=1&arphpl=1&checkin=2021-12-15&checkout=2021-12-31&dest_id=7995&dest_type=airport&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=23&hapos=123&sr_order=popularity&srpvid=9fc21baf17f40058&srepoch=1639540627&all_sr_blocks=143729801_242617104_0_2_0&highlighted_blocks=143729801_242617104_0_2_0&matching_block_id=143729801_242617104_0_2_0&sr_pri_blocks=143729801_242617104_0_2_0__5908800&from=searchresults#hotelTmpl,https://cf.bstatic.com/xdata/images/hotel/square600/246829010.webp?k=5814494ee49b5dac9ef311083b560914bea8034095fbaa16612bf547803e2eec&o=&s=1,"['Attide Biz', 'Opens in new window']","₹ 59,088","5.8
Review score
9 reviews","+₹ 8,012 taxes and charges",20.1 km from Kempegowda International Airport
https://www.booking.com/hotel/in/oyo-10395-dvarka-inn-bangalore123456.html?label=BLR&sid=428ba0028bf6d928d014ce18adfa0425&aid=358577&ucfs=1&arphpl=1&checkin=2021-12-15&checkout=2021-12-31&dest_id=7995&dest_type=airport&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=24&hapos=124&sr_order=popularity&srpvid=9fc21baf17f40058&srepoch=1639540627&all_sr_blocks=312057703_335412842_2_2_0&highlighted_blocks=312057703_335412842_2_2_0&matching_block_id=312057703_335412842_2_2_0&sr_pri_blocks=312057703_335412842_2_2_0__3742560&from=searchresults#hotelTmpl,https://cf.bstatic.com/xdata/images/hotel/square600/151388570.webp?k=9096b5d93e6ce62ce29b762b7999cb6c4ae3df3eca340127b4a179b1f3d406b6&o=&s=1,"['Hotel Dvaraka Inn', 'Opens in new window']","₹ 37,426","7.0
Good
55 reviews","+₹ 4,491 taxes and charges",20.1 km from Kempegowda International Airport
https://www.booking.com/hotel/in/oyo-12543-maple-tree-bangalore1.html?label=BLR&sid=428ba0028bf6d928d014ce18adfa0425&aid=358577&ucfs=1&arphpl=1&checkin=2021-12-15&checkout=2021-12-31&dest_id=7995&dest_type=airport&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=0&hapos=125&sr_order=popularity&srpvid=9fc21baf17f40058&srepoch=1639540640&all_sr_blocks=375658802_328152888_2_1_0&highlighted_blocks=375658802_328152888_2_1_0&matching_block_id=375658802_328152888_2_1_0&sr_pri_blocks=375658802_328152888_2_1_0__2266805&from=searchresults#hotelTmpl,https://cf.bstatic.com/xdata/images/hotel/square200/313787051.webp?k=d67d826bce3245e62aaa586b47f8513f57a3c38a7014694f7bb7f5e6625390d7&o=&s=1,"['Vaccinated Staff - Capital O 12543 Three Square', 'Opens in new window']","₹ 22,668","6.2
Review score
5 reviews","+₹ 3,200 taxes and charges",20.3 km from Kempegowda International Airport
https://www.booking.com/hotel/in/x-by-bloom-l-manyata.html?label=BLR&sid=428ba0028bf6d928d014ce18adfa0425&aid=358577&ucfs=1&arphpl=1&checkin=2021-12-15&checkout=2021-12-31&dest_id=7995&dest_type=airport&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=126&sr_order=popularity&srpvid=9fc21baf17f40058&srepoch=1639540640&all_sr_blocks=536347501_278092094_0_2_0&highlighted_blocks=536347501_278092094_0_2_0&matching_block_id=536347501_278092094_0_2_0&sr_pri_blocks=536347501_278092094_0_2_0__2080000&from=searchresults#hotelTmpl,https://cf.bstatic.com/xdata/images/hotel/square600/251735256.webp?k=5af2aed84bf8a31c949c4b331ab69d3f52b9db87ecd3b88c67922d970cf7645a&o=&s=1,"['X by Bloom l Manyata', 'Opens in new window']","₹ 20,800","7.7
Good
17 reviews","+₹ 2,496 taxes and charges",20.2 km from Kempegowda International Airport
https://www.booking.com/hotel/in/yn-hotels-premier.html?label=BLR&sid=428ba0028bf6d928d014ce18adfa0425&aid=358577&ucfs=1&arphpl=1&checkin=2021-12-15&checkout=2021-12-31&dest_id=7995&dest_type=airport&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=127&sr_order=popularity&srpvid=9fc21baf17f40058&srepoch=1639540640&all_sr_blocks=661877301_270856786_2_41_0&highlighted_blocks=661877301_270856786_2_41_0&matching_block_id=661877301_270856786_2_41_0&sr_pri_blocks=661877301_270856786_2_41_0__3072000&from=searchresults#hotelTmpl,https://cf.bstatic.com/xdata/images/hotel/square600/262895764.webp?k=89368d9a87ef8e1b977dfa2b2c22f1752a4b1d4b9fcaad430144ffc57222825b&o=&s=1,"['YN Hotels Premier', 'Opens in new window']","₹ 30,720","6.8
Review score
6 reviews","+₹ 3,686 taxes and charges",21 km from Kempegowda International Airport
https://www.booking.com/hotel/in/capital-o70991-prime-residency.html?label=BLR&sid=428ba0028bf6d928d014ce18adfa0425&aid=358577&ucfs=1&arphpl=1&checkin=2021-12-15&checkout=2021-12-31&dest_id=7995&dest_type=airport&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=131&sr_order=popularity&srpvid=9fc21baf17f40058&srepoch=1639540640&all_sr_blocks=638753902_328253154_2_1_0&highlighted_blocks=638753902_328253154_2_1_0&matching_block_id=638753902_328253154_2_1_0&sr_pri_blocks=638753902_328253154_2_1_0__2763834&from=searchresults#hotelTmpl,https://cf.bstatic.com/xdata/images/hotel/square600/286889035.webp?k=f92fbb32b0a744983a64520745739ab7bd60b38d5db4b956fcf090ad987539d8&o=&s=1,"['Vaccinated Staff - Capital O 70991 Prime Square', 'Opens in new window']","₹ 27,638","6.6
Review score
11 reviews","+₹ 3,797 taxes and charges",20.7 km from Kempegowda International Airport
